,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
2255,30-34,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine with slab,no,yes,32.0,0,0,4
2256,45-49,rural,6,unprotected spring,10.0,no facility/bush/field,no,no,45.0,1,0,6
2257,15-19,rural,6,unprotected spring,10.0,no facility/bush/field,no,no,45.0,0,0,0
2258,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,3.0,pit latrine without slab/open pit,no,no,26.0,1,0,3
2259,20-24,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,pit latrine with slab,no,yes,25.0,1,0,3
2260,25-29,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,pit latrine with slab,no,yes,25.0,1,0,4
2261,45-49,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,yes,63.0,2,0,9
2262,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,yes,63.0,0,0,2
2263,45-49,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,no,49.0,0,0,5
2264,25-29,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,no,49.0,0,0,2
2265,45-49,rural,6,unprotected spring,10.0,pit latrine without slab/open pit,no,yes,78.0,1,0,7
2266,20-24,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,27.0,0,0,3
2267,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,yes,65.0,0,0,2
2268,20-24,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,no facility/bush/field,no,yes,57.0,0,0,0
2269,35-39,rural,8,unprotected spring,5.0,pit latrine with slab,no,no,45.0,1,0,5
2270,35-39,rural,8,unprotected spring,5.0,pit latrine with slab,no,no,45.0,2,1,6
2271,45-49,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,4.0,pit latrine without slab/open pit,no,no,48.0,1,0,8
2272,35-39,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,5.0,pit latrine without slab/open pit,no,yes,66.0,0,1,7
2273,25-29,rural,7,unprotected spring,8.0,pit latrine with slab,no,yes,64.0,0,0,5
2274,20-24,urban,3,protected well,0.0,ventilated improved pit latrine (vip),yes,yes,65.0,0,0,0
2275,15-19,urban,3,protected well,0.0,ventilated improved pit latrine (vip),yes,yes,65.0,0,0,0
2276,40-44,urban,12,bottled water or sachets,0.0,flush to septic tank,yes,yes,56.0,1,1,6
2277,15-19,urban,12,bottled water or sachets,0.0,flush to septic tank,yes,yes,56.0,0,0,0
2278,45-49,urban,12,bottled water or sachets,0.0,flush to septic tank,yes,yes,56.0,1,0,5
2279,15-19,urban,12,bottled water or sachets,0.0,flush to septic tank,yes,yes,56.0,0,0,0
2280,30-34,urban,7,piped to yard/plot,0.0,pit latrine with slab,yes,yes,30.0,1,0,6
2281,25-29,urban,12,piped to yard/plot,0.0,ventilated improved pit latrine (vip),yes,yes,59.0,0,0,1
2282,15-19,urban,12,piped to yard/plot,0.0,ventilated improved pit latrine (vip),yes,yes,59.0,0,0,0
2283,35-39,urban,2,protected well,20.0,flush to pit latrine,yes,yes,35.0,0,0,2
2284,15-19,urban,2,public tap/standpipe,60.0,hanging toilet/latrine,yes,yes,25.0,0,0,0
2285,45-49,urban,9,protected well,60.0,hanging toilet/latrine,yes,yes,45.0,1,1,8
2286,20-24,urban,9,protected well,60.0,hanging toilet/latrine,yes,yes,45.0,0,0,1
2287,25-29,urban,3,bottled water or sachets,10.0,ventilated improved pit latrine (vip),yes,yes,28.0,0,0,2
2288,15-19,urban,1,protected well,45.0,flush to pit latrine,yes,yes,18.0,0,1,1
2289,15-19,urban,7,protected well,60.0,ventilated improved pit latrine (vip),no,yes,65.0,0,0,0
2290,20-24,urban,7,protected well,60.0,ventilated improved pit latrine (vip),no,yes,65.0,0,0,0
2291,15-19,urban,7,protected well,60.0,ventilated improved pit latrine (vip),no,yes,65.0,0,0,0
2292,20-24,urban,1,protected well,15.0,flush to pit latrine,yes,no,21.0,0,0,1
2293,25-29,urban,5,public tap/standpipe,45.0,flush to septic tank,yes,no,72.0,0,0,1
2294,15-19,urban,5,public tap/standpipe,45.0,flush to septic tank,yes,no,72.0,0,0,0
2295,35-39,urban,7,protected well,60.0,pit latrine without slab/open pit,yes,no,39.0,0,0,4
2296,20-24,urban,7,protected well,60.0,pit latrine without slab/open pit,yes,no,39.0,0,0,2
2297,20-24,urban,7,protected well,40.0,"flush, 0 where",no,yes,45.0,0,0,1
2298,35-39,urban,6,protected well,45.0,flush to pit latrine,yes,yes,45.0,2,0,4
2299,15-19,urban,6,protected well,45.0,flush to pit latrine,yes,yes,45.0,0,0,0
2300,25-29,urban,7,protected well,60.0,ventilated improved pit latrine (vip),no,no,50.0,0,0,3
2301,25-29,urban,9,public tap/standpipe,20.0,ventilated improved pit latrine (vip),yes,no,55.0,0,0,1
2302,20-24,urban,9,public tap/standpipe,20.0,ventilated improved pit latrine (vip),yes,no,55.0,0,0,1
2303,15-19,urban,9,public tap/standpipe,20.0,ventilated improved pit latrine (vip),yes,no,55.0,0,0,0
2304,20-24,urban,4,protected well,60.0,flush to pit latrine,yes,yes,23.0,0,0,3
2305,40-44,urban,5,public tap/standpipe,30.0,pit latrine without slab/open pit,yes,no,42.0,0,1,2
2306,15-19,urban,5,public tap/standpipe,60.0,flush to pit latrine,no,yes,29.0,0,0,0
2307,15-19,urban,5,public tap/standpipe,60.0,flush to pit latrine,no,yes,29.0,0,0,1
2308,35-39,urban,7,piped to yard/plot,0.0,flush to pit latrine,yes,yes,36.0,1,0,5
2309,40-44,urban,10,protected well,60.0,flush to septic tank,no,yes,50.0,0,0,6
2310,35-39,urban,3,protected well,15.0,hanging toilet/latrine,yes,no,39.0,0,0,1
2311,20-24,urban,6,protected well,120.0,flush to pit latrine,no,yes,20.0,0,0,1
2312,45-49,urban,6,protected well,120.0,flush to pit latrine,no,yes,20.0,0,0,4
2313,25-29,urban,7,unprotected well,20.0,pit latrine with slab,no,yes,33.0,0,0,1
2314,15-19,urban,7,unprotected well,20.0,pit latrine with slab,no,yes,33.0,0,0,0
2315,45-49,urban,9,protected well,60.0,ventilated improved pit latrine (vip),no,yes,49.0,0,2,9
2316,15-19,urban,9,protected well,60.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
2317,25-29,urban,9,protected well,60.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
2318,45-49,rural,6,protected well,16.0,no facility/bush/field,no,yes,16.0,1,1,8
2319,20-24,rural,6,protected well,16.0,no facility/bush/field,no,yes,16.0,0,0,0
2320,40-44,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,pit latrine with slab,no,no,45.0,0,0,5
2321,20-24,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,pit latrine with slab,no,no,45.0,0,0,1
2322,40-44,rural,4,protected well,30.0,pit latrine with slab,no,no,50.0,1,2,7
2323,30-34,rural,6,protected well,20.0,ventilated improved pit latrine (vip),no,yes,35.0,1,0,5
2324,30-34,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,pit latrine with slab,no,yes,32.0,1,1,6
2325,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,pit latrine with slab,no,yes,32.0,0,0,0
2326,40-44,rural,6,protected well,13.0,pit latrine with slab,no,no,63.0,4,2,10
2327,40-44,rural,10,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine with slab,no,yes,50.0,3,1,8
2328,25-29,rural,5,protected well,19.0,composting toilet,no,yes,27.0,1,1,5
2329,25-29,rural,5,protected well,20.0,no facility/bush/field,no,yes,35.0,0,0,3
2330,20-24,rural,4,protected well,15.0,pit latrine with slab,no,yes,50.0,0,0,0
2331,25-29,rural,3,protected well,20.0,pit latrine with slab,no,yes,24.0,0,0,1
2332,20-24,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine with slab,no,yes,24.0,0,0,1
2333,20-24,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine with slab,no,yes,24.0,1,0,1
2334,20-24,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,pit latrine with slab,no,no,30.0,0,0,2
2335,25-29,rural,3,protected well,13.0,pit latrine with slab,no,no,70.0,0,0,0
2336,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,pit latrine with slab,no,yes,58.0,0,0,0
2337,40-44,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,pit latrine without slab/open pit,no,no,50.0,1,1,6
2338,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,pit latrine with slab,no,no,33.0,0,0,3
2339,20-24,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine with slab,no,no,30.0,1,1,3
2340,30-34,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine with slab,no,no,30.0,0,0,4
2341,45-49,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,pit latrine with slab,no,no,49.0,1,0,1
2342,45-49,rural,3,protected well,20.0,ventilated improved pit latrine (vip),no,no,48.0,1,4,7
2343,30-34,rural,6,unprotected spring,30.0,ventilated improved pit latrine (vip),no,yes,45.0,1,0,7
2344,30-34,rural,4,protected well,30.0,ventilated improved pit latrine (vip),no,yes,56.0,3,0,6
2345,15-19,rural,4,protected well,30.0,ventilated improved pit latrine (vip),no,yes,56.0,0,0,0
2346,45-49,rural,5,protected well,17.0,pit latrine with slab,no,yes,64.0,0,0,7
2347,30-34,rural,4,protected well,30.0,pit latrine without slab/open pit,no,no,30.0,0,1,5
2348,40-44,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,50.0,pit latrine with slab,no,no,56.0,1,3,7
2349,35-39,urban,3,bottled water or sachets,20.0,flush to septic tank,yes,no,39.0,0,0,0
2350,25-29,urban,10,piped into dwelling,0.0,flush to septic tank,yes,yes,64.0,0,0,0
2351,15-19,urban,10,piped into dwelling,0.0,flush to septic tank,yes,yes,64.0,0,0,0
2352,15-19,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,52.0,0,0,0
2353,15-19,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,52.0,0,0,0
2354,20-24,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,60.0,0,0,1
2355,25-29,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,60.0,0,0,1
2356,40-44,urban,3,piped to yard/plot,0.0,flush to septic tank,yes,yes,40.0,0,0,1
2357,45-49,urban,15,piped to yard/plot,0.0,pit latrine with slab,no,yes,71.0,0,0,5
2358,15-19,urban,15,piped to yard/plot,0.0,pit latrine with slab,no,yes,71.0,0,0,0
2359,15-19,urban,15,piped to yard/plot,0.0,pit latrine with slab,no,yes,71.0,0,0,0
2360,30-34,urban,15,piped to yard/plot,0.0,pit latrine with slab,no,yes,71.0,0,0,4
2361,35-39,urban,12,public tap/standpipe,15.0,pit latrine with slab,no,no,40.0,0,2,7
2362,25-29,urban,12,public tap/standpipe,15.0,pit latrine with slab,no,no,40.0,1,1,4
2363,15-19,urban,12,public tap/standpipe,15.0,pit latrine with slab,no,no,40.0,1,0,1
2364,25-29,urban,12,piped into dwelling,0.0,flush to septic tank,yes,yes,67.0,0,0,2
2365,20-24,urban,12,piped into dwelling,0.0,flush to septic tank,yes,yes,67.0,0,0,1
2366,45-49,urban,12,piped into dwelling,0.0,flush to septic tank,yes,yes,67.0,0,0,3
2367,25-29,urban,8,piped into dwelling,0.0,flush to septic tank,yes,yes,64.0,0,0,0
2368,15-19,urban,8,piped into dwelling,0.0,flush to septic tank,yes,yes,64.0,0,0,0
2369,35-39,urban,5,piped to yard/plot,0.0,flush to septic tank,yes,yes,55.0,0,0,2
2370,20-24,urban,5,piped to yard/plot,0.0,flush to septic tank,yes,yes,55.0,0,0,0
2371,20-24,urban,5,piped to yard/plot,0.0,flush to septic tank,yes,yes,55.0,0,0,0
2372,25-29,urban,5,piped to yard/plot,0.0,flush to septic tank,yes,yes,55.0,0,0,0
2373,30-34,urban,9,bottled water or sachets,10.0,flush to septic tank,yes,yes,40.0,0,0,3
2374,20-24,urban,9,bottled water or sachets,10.0,flush to septic tank,yes,yes,40.0,0,0,0
2375,15-19,urban,9,bottled water or sachets,10.0,flush to septic tank,yes,yes,40.0,0,0,0
2376,35-39,urban,3,bottled water or sachets,10.0,flush to septic tank,yes,yes,48.0,0,0,2
2377,35-39,urban,4,piped to yard/plot,0.0,flush to septic tank,yes,yes,61.0,0,0,0
2378,40-44,urban,2,piped to yard/plot,0.0,flush to septic tank,yes,yes,44.0,0,0,4
2379,20-24,urban,2,piped to yard/plot,0.0,flush to septic tank,yes,yes,44.0,1,0,1
2380,20-24,urban,3,piped to yard/plot,0.0,flush to septic tank,yes,yes,51.0,0,0,1
2381,15-19,urban,3,piped to yard/plot,0.0,flush to septic tank,yes,yes,51.0,0,0,0
2382,45-49,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,48.0,0,0,2
2383,15-19,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,48.0,0,0,0
2384,20-24,urban,5,piped into dwelling,0.0,flush to septic tank,yes,yes,48.0,0,0,0
2385,45-49,urban,3,bottled water or sachets,10.0,flush to septic tank,yes,yes,50.0,0,0,3
2386,40-44,urban,7,piped to yard/plot,0.0,flush to septic tank,yes,yes,45.0,0,1,2
2387,20-24,urban,7,piped to yard/plot,0.0,flush to septic tank,yes,yes,45.0,0,0,0
2388,20-24,urban,7,piped to yard/plot,0.0,flush to septic tank,yes,yes,45.0,0,0,1
2389,35-39,urban,6,piped to yard/plot,0.0,flush to septic tank,yes,yes,38.0,0,0,1
2390,20-24,urban,6,piped to yard/plot,0.0,flush to septic tank,yes,yes,38.0,0,0,2
2391,20-24,urban,4,bottled water or sachets,7.0,flush to septic tank,yes,yes,32.0,0,0,1
2392,20-24,urban,10,piped to yard/plot,0.0,flush to septic tank,yes,yes,73.0,0,0,0
2393,15-19,urban,10,piped to yard/plot,0.0,flush to septic tank,yes,yes,73.0,0,0,0
2394,15-19,urban,10,piped to yard/plot,0.0,flush to septic tank,yes,yes,73.0,0,0,0
2395,25-29,urban,10,piped to yard/plot,0.0,flush to septic tank,yes,yes,73.0,0,0,1
2396,35-39,urban,6,piped to yard/plot,0.0,flush to septic tank,yes,yes,44.0,1,1,5
2397,25-29,urban,10,piped into dwelling,0.0,flush to septic tank,yes,yes,49.0,0,0,1
2398,25-29,urban,5,public tap/standpipe,20.0,flush to septic tank,no,yes,49.0,1,0,4
2399,40-44,urban,5,public tap/standpipe,20.0,flush to septic tank,no,yes,49.0,1,0,5
2400,30-34,urban,2,piped to yard/plot,0.0,flush to septic tank,no,yes,46.0,0,0,0
2401,25-29,rural,5,unprotected well,15.0,pit latrine without slab/open pit,no,no,45.0,1,1,5
2402,30-34,rural,4,unprotected well,9.0,pit latrine without slab/open pit,no,yes,35.0,1,1,5
2403,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,16.0,pit latrine without slab/open pit,no,no,29.0,0,0,3
2404,30-34,rural,5,rainwater,0.0,pit latrine without slab/open pit,no,yes,31.0,0,1,4
2405,30-34,rural,7,protected well,10.0,pit latrine without slab/open pit,no,yes,53.0,0,1,6
2406,15-19,rural,6,unprotected well,10.0,pit latrine with slab,no,yes,57.0,0,0,0
2407,15-19,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,pit latrine without slab/open pit,no,yes,65.0,0,0,0
2408,25-29,rural,3,unprotected well,0.0,pit latrine with slab,no,yes,39.0,1,0,2
2409,45-49,rural,5,unprotected well,5.0,pit latrine without slab/open pit,no,yes,46.0,0,4,6
2410,35-39,rural,4,protected well,4.0,pit latrine without slab/open pit,no,yes,39.0,0,3,6
2411,15-19,rural,6,tanker truck,16.0,pit latrine without slab/open pit,no,no,60.0,0,0,1
2412,15-19,rural,5,unprotected well,10.0,pit latrine without slab/open pit,no,yes,59.0,0,0,0
2413,30-34,rural,5,unprotected well,,pit latrine without slab/open pit,no,no,33.0,2,0,5
2414,20-24,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,no,yes,26.0,1,0,1
2415,35-39,rural,5,unprotected well,0.0,pit latrine with slab,no,yes,47.0,0,1,8
2416,20-24,rural,4,unprotected well,10.0,pit latrine with slab,no,yes,30.0,0,0,3
2417,35-39,rural,6,unprotected well,10.0,pit latrine with slab,no,yes,57.0,0,2,6
2418,20-24,rural,5,unprotected well,15.0,pit latrine without slab/open pit,no,yes,30.0,0,0,2
2419,15-19,rural,6,unprotected well,15.0,pit latrine without slab/open pit,no,yes,65.0,0,0,0
2420,35-39,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,yes,40.0,0,0,5
2421,45-49,rural,6,unprotected well,8.0,pit latrine without slab/open pit,no,yes,48.0,0,1,4
2422,30-34,rural,7,unprotected well,15.0,pit latrine without slab/open pit,no,yes,45.0,0,1,3
2423,35-39,rural,4,unprotected well,8.0,pit latrine without slab/open pit,no,yes,47.0,0,0,4
2424,25-29,rural,6,unprotected well,11.0,pit latrine with slab,no,yes,27.0,0,0,2
2425,20-24,rural,4,unprotected well,15.0,pit latrine with slab,no,yes,28.0,0,0,0
2426,20-24,rural,3,unprotected well,8.0,pit latrine without slab/open pit,no,yes,25.0,0,0,1
2427,35-39,rural,5,unprotected well,6.0,pit latrine with slab,no,yes,39.0,2,0,8
2428,20-24,rural,5,unprotected well,6.0,pit latrine without slab/open pit,no,no,38.0,0,0,0
2429,25-29,rural,4,unprotected well,10.0,pit latrine with slab,no,no,52.0,0,1,4
2430,40-44,rural,4,unprotected well,10.0,pit latrine with slab,no,no,52.0,0,0,0
2431,20-24,rural,13,unprotected well,50.0,pit latrine without slab/open pit,no,yes,25.0,0,0,1
2432,40-44,rural,5,tube well or borehole,30.0,no facility/bush/field,no,no,40.0,1,0,5
2433,40-44,rural,13,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,no,46.0,0,0,6
2434,25-29,rural,6,tube well or borehole,30.0,no facility/bush/field,no,yes,32.0,1,1,6
2435,20-24,rural,4,tube well or borehole,0.0,pit latrine without slab/open pit,no,no,35.0,0,0,0
2436,20-24,rural,2,tube well or borehole,4.0,no facility/bush/field,no,yes,45.0,0,0,0
2437,25-29,rural,4,rainwater,0.0,no facility/bush/field,no,yes,44.0,0,0,1
2438,35-39,rural,5,unprotected well,15.0,no facility/bush/field,no,yes,37.0,2,2,10
2439,15-19,rural,3,unprotected spring,15.0,pit latrine without slab/open pit,no,yes,27.0,0,0,1
2440,45-49,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,12.0,pit latrine without slab/open pit,no,yes,69.0,0,0,5
2441,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,12.0,pit latrine without slab/open pit,no,yes,69.0,0,0,0
2442,15-19,rural,4,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine with slab,no,yes,70.0,0,0,0
2443,30-34,rural,6,protected well,0.0,ventilated improved pit latrine (vip),no,yes,50.0,0,0,7
2444,30-34,rural,7,unprotected spring,20.0,pit latrine with slab,no,no,40.0,0,0,4
2445,35-39,rural,10,,,pit latrine without slab/open pit,no,yes,59.0,1,1,7
2446,20-24,rural,6,unprotected well,10.0,pit latrine without slab/open pit,no,yes,35.0,0,0,1
2447,35-39,rural,7,unprotected well,15.0,no facility/bush/field,no,no,40.0,2,0,6
2448,30-34,rural,9,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,no facility/bush/field,no,no,75.0,0,0,5
2449,20-24,rural,11,protected well,50.0,no facility/bush/field,no,no,86.0,0,0,1
2450,20-24,rural,11,protected well,50.0,no facility/bush/field,no,no,86.0,0,0,3
2451,15-19,rural,11,protected well,50.0,no facility/bush/field,no,no,86.0,0,0,0
2452,20-24,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,no facility/bush/field,no,yes,72.0,1,2,5
2453,15-19,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,no facility/bush/field,no,yes,72.0,0,0,0
2454,25-29,rural,3,tube well or borehole,10.0,no facility/bush/field,no,yes,30.0,0,0,1
2455,45-49,rural,5,protected well,15.0,pit latrine without slab/open pit,no,yes,45.0,1,1,11
2456,30-34,rural,12,tube well or borehole,20.0,no facility/bush/field,no,no,46.0,0,0,5
2457,25-29,rural,12,tube well or borehole,20.0,no facility/bush/field,no,no,46.0,1,0,4
2458,15-19,rural,12,tube well or borehole,20.0,no facility/bush/field,no,no,46.0,0,0,0
2459,20-24,rural,12,river/dam/lake/ponds/stream/canal/irrigation channel,30.0,no facility/bush/field,no,no,40.0,1,1,3
2460,15-19,rural,5,tube well or borehole,0.0,ventilated improved pit latrine (vip),no,yes,39.0,0,0,0
2461,35-39,rural,7,unprotected well,6.0,pit latrine with slab,no,no,45.0,0,0,4
2462,15-19,rural,7,unprotected well,6.0,pit latrine with slab,no,no,45.0,0,0,0
2463,40-44,urban,8,piped into dwelling,0.0,other,no,yes,68.0,1,0,4
2464,35-39,urban,4,protected well,3.0,pit latrine without slab/open pit,no,yes,40.0,0,2,5
2465,35-39,urban,8,protected well,3.0,ventilated improved pit latrine (vip),no,yes,42.0,1,0,1
2466,20-24,urban,8,protected well,3.0,ventilated improved pit latrine (vip),no,yes,42.0,0,0,2
2467,35-39,urban,5,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,yes,52.0,3,3,10
2468,40-44,urban,7,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,no,60.0,0,0,3
2469,20-24,urban,7,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,no,60.0,0,0,1
2470,15-19,urban,3,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,yes,31.0,0,0,1
2471,20-24,urban,6,public tap/standpipe,5.0,ventilated improved pit latrine (vip),no,yes,30.0,0,0,2
2472,15-19,urban,2,public tap/standpipe,2.0,pit latrine without slab/open pit,no,yes,32.0,0,0,0
2473,35-39,urban,4,public tap/standpipe,5.0,pit latrine without slab/open pit,no,yes,65.0,0,0,1
2474,20-24,urban,9,public tap/standpipe,5.0,pit latrine with slab,no,yes,73.0,0,0,1
2475,45-49,urban,5,public tap/standpipe,10.0,pit latrine without slab/open pit,no,yes,55.0,2,2,10
2476,20-24,urban,4,public tap/standpipe,6.0,ventilated improved pit latrine (vip),no,no,34.0,0,1,3
2477,20-24,urban,4,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,no facility/bush/field,no,no,70.0,0,0,2
2478,40-44,urban,9,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,no,49.0,0,0,7
2479,20-24,urban,9,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,no,49.0,0,0,0
2480,40-44,urban,9,public tap/standpipe,10.0,ventilated improved pit latrine (vip),no,no,49.0,0,0,2
2481,25-29,urban,5,river/dam/lake/ponds/stream/canal/irrigation channel,60.0,no facility/bush/field,no,no,78.0,0,0,3
2482,45-49,urban,5,public tap/standpipe,3.0,pit latrine with slab,no,yes,52.0,3,0,8
2483,20-24,urban,5,public tap/standpipe,3.0,pit latrine with slab,no,yes,52.0,1,1,3
2484,40-44,urban,7,public tap/standpipe,5.0,pit latrine with slab,no,yes,50.0,0,0,6
2485,40-44,urban,10,public tap/standpipe,16.0,pit latrine with slab,no,no,46.0,0,0,10
2486,15-19,urban,10,public tap/standpipe,16.0,pit latrine with slab,no,no,46.0,0,0,0
2487,25-29,urban,10,public tap/standpipe,16.0,pit latrine with slab,no,no,46.0,0,0,1
2488,45-49,urban,8,public tap/standpipe,0.0,pit latrine without slab/open pit,no,yes,48.0,1,0,10
2489,40-44,rural,4,protected spring,46.0,no facility/bush/field,no,no,40.0,2,4,8
2490,40-44,rural,6,protected spring,45.0,ventilated improved pit latrine (vip),no,yes,42.0,3,1,8
2491,20-24,rural,7,unprotected well,26.0,pit latrine with slab,no,no,56.0,0,0,1
2492,35-39,rural,7,unprotected well,26.0,pit latrine with slab,no,no,56.0,0,1,2
2493,45-49,rural,6,unprotected well,40.0,ventilated improved pit latrine (vip),no,no,39.0,4,0,8
2494,35-39,rural,4,unprotected spring,45.0,ventilated improved pit latrine (vip),no,no,49.0,0,2,6
2495,45-49,rural,6,unprotected spring,30.0,no facility/bush/field,no,no,48.0,1,0,8
2496,25-29,rural,8,unprotected well,25.0,no facility/bush/field,no,no,44.0,0,2,4
2497,25-29,rural,8,unprotected well,25.0,no facility/bush/field,no,no,44.0,0,1,2
2498,30-34,rural,5,protected well,45.0,ventilated improved pit latrine (vip),no,yes,46.0,1,0,5
2499,25-29,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,no facility/bush/field,no,no,35.0,0,0,3
2500,30-34,rural,8,protected well,45.0,no facility/bush/field,no,no,35.0,0,1,5
2501,35-39,rural,7,unprotected spring,28.0,pit latrine with slab,no,yes,40.0,0,2,6
2502,25-29,rural,7,unprotected spring,28.0,pit latrine with slab,no,yes,40.0,0,1,4
2503,25-29,rural,8,protected well,30.0,ventilated improved pit latrine (vip),no,no,30.0,0,0,2
2504,35-39,rural,5,unprotected spring,30.0,no facility/bush/field,no,no,38.0,0,1,5
2505,45-49,rural,4,unprotected spring,28.0,composting toilet,no,yes,47.0,2,2,7
2506,35-39,rural,4,unprotected spring,28.0,composting toilet,no,yes,47.0,2,2,6
2507,20-24,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,40.0,no facility/bush/field,no,no,28.0,0,0,3
2508,40-44,rural,7,unprotected spring,30.0,composting toilet,no,no,67.0,1,0,5
2509,40-44,rural,5,unprotected spring,15.0,pit latrine with slab,no,yes,58.0,1,2,9
2510,25-29,rural,3,unprotected spring,24.0,no facility/bush/field,no,no,32.0,0,2,3
2511,30-34,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,45.0,pit latrine without slab/open pit,no,yes,35.0,0,0,4
2512,35-39,rural,14,protected well,20.0,ventilated improved pit latrine (vip),no,yes,49.0,5,1,10
2513,35-39,rural,14,protected well,20.0,ventilated improved pit latrine (vip),no,yes,49.0,1,3,8
2514,20-24,rural,14,protected well,20.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
2515,25-29,rural,14,protected well,20.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
2516,25-29,rural,6,unprotected well,45.0,ventilated improved pit latrine (vip),no,no,40.0,0,0,3
2517,25-29,rural,8,unprotected well,40.0,ventilated improved pit latrine (vip),no,no,35.0,0,0,2
2518,30-34,rural,12,unprotected spring,28.0,composting toilet,no,yes,38.0,1,0,5
2519,25-29,rural,12,unprotected spring,28.0,composting toilet,no,yes,38.0,0,1,3
2520,15-19,rural,12,unprotected spring,28.0,composting toilet,no,yes,38.0,0,0,0
2521,20-24,rural,2,unprotected spring,28.0,composting toilet,no,no,53.0,0,0,0
2522,45-49,rural,5,unprotected well,50.0,ventilated improved pit latrine (vip),no,no,48.0,4,0,9
2523,35-39,rural,7,unprotected well,10.0,pit latrine with slab,no,yes,49.0,0,0,7
2524,40-44,rural,9,protected spring,40.0,ventilated improved pit latrine (vip),no,yes,49.0,2,1,8
2525,15-19,rural,9,protected spring,40.0,ventilated improved pit latrine (vip),no,yes,49.0,0,0,0
